!	!
,	,
.	:
?	?
Ak	Եթե
Ako	Ինչպես
Boh	Աստված
Bohu	թույլ
Boria	հերիքա
Choď	Նստիր
Dedko	Պապիկ
Dedo	Դու
Dobré	Լավ
Dobrý	Բարի
Dávaj	Ուշադիր
Gruzíncom	վրացիներինն
Hej	Հեյ
Inguri	ցետը
Ja	Ես
Je	Վիրավորված
KUKURIČNÝ	ԵԳԻՊՏԱՑՈՐԵՆԻ
Kaukazu	ստորերկրյա
Každú	Ամեն
Komu	Իսկ
Modlím	Գուցե
Mám	Մի
Máš	Եվ
Môžete	Գիտես
Na	Մեր
Nechcete	Չես
Nesie	Նա
Nevideli	Մոտակայքում
Nie	Մի
OSTROV	ԿՂԶԻՆ
Oddýchni	չե
Pes	Մեր
Pozri	Այ
Poď	Արի
Poďme	Գնացինք
Prestaň	Բորյա
Prípitok	Սա
Tieto	Այս
To	Նրանք
Tvoji	Ծնոխներտ
Táto	Այս
Určite	Համոզված
Už	Բավական
V	Գարնան
Vybrali	Բնակության
Vypijem	Այստեղ
a	հոսքով
abcházsky	աբխազերեն
aby	ողջ
ak	եթե
ako	ինչ
ale	բայց
boh	աստված
bohu	թույլ
boli	վրացիներ
boria	հերիքա
budúci	տարի
bývanie	ընտրել
bývať	այսեղ
choď	նստիր
chudák	.
dedko	հայրիկ
dedo	հայրիկ
deň	օր
diplom	դիպլոմ
dlhej	բնությունը
do	նավակի
dobré	լավ
dobrý	,
dostatok	որպեսզի
dosť	է
dožil	օրը
dávaj	ուշադիր
gruzíncom	վրացիներինն
hej	հեյ
ho	Մյուս
horko	է
hľadáte	փննտրում
ich	տանում
im	իրենց
inguri	ցետը
ja	ես
jar	գարուն
je	է
k	այդ
kaukazu	ստորերկրյա
každú	ամեն
komu	իսկ
koryte	կղզիներ
ktorí	Նրանք
kukurice	երկար
kukuričný	եգիպտացորենի
leta	միջև
loďky	մեջ
malé	Սև
mi	ուզում
mieste	տեղում
miestnych	տեղացիների
miesto	վայր
modlím	գուցե
moru	իր
málo	քիչ
mám	մի
máš	ես
môžete	գիտես
môžu	բավականաչափ
na	մեր
nebezpečné	վտանգավոր
nechcete	չես
nedočkali	մասնաքցել
nehľadáte	չեք
nemáte	խմելու
nemôže	չի
nerozumiem	հասկանում
nesie	նա
netráp	Հերիք
nevideli	մոտակայքում
nie	ես
niekoho	որևեցե
niečo	բան
nám	շունն
nás	կենացը
obrábajú	մշակելով
oddýchni	չե
ostrov	կղզին
ostrovčeky	կղզիները
ostročeky	ճով
patrí	է
pes	Շունը
poslednej	տեսել
potom	.
povedať	ասել
povedz	տեսնես
pozor	եղիր
pozri	այ
počas	եթե
poď	արի
poďme	գնացինք
pre	օրհնանք
prestaň	բորյա
priebehu	աշնան
prípitok	սա
pôda	մեկը
pôdu	հողը
rieka	Ինգուրի
rodiny	Միյայն
rodičia	չեն
rok	կունենամ
roľníkov	համար
rád	չես
sa	մինչ
sem	ստեղ
si	ես
skončila	ավարտեցիր
som	մնամ
srdiečko	սիրունիկ
starčeka	պապուն
ste	ապա
svoje	ընտանիքը
svojom	փոքր
sú	իսկական
tam	.
teda	ումն
ti	շոք
tieto	այս
to	ասա
trochu	հոգնեցիր
tu	ոչմեկին
tvoji	ծնոխներտ
tvorcovi	ստեղծողին
ty	մարդ
tá	այն
táto	այս
unavený	հանգստացի
určite	համոզված
usadia	տեղ
utiecť	փախչի
utiekol	փախել
utvára	լանջից
uvidíme	կվերադարնանք
uvidíte	մեկին
už	բավական
uživili	ամիսներին
v	չես
vidíš	տեսնել
vo	կազմելով
voláš	անունտ
vybrali	բնակության
vypestovať	եգիպտացորեն
vypijem	այստեղ
vypiť	ունես
vám	Աստվածն
vás	քո
vína	ունեմ
vôbec	չեմ
zimy	.
zlom	ճիշտ
zo	քարերը
úrodnú	մաքրում
Čiernemu	ամենը
Čo	Ինչ
čiernemu	ամենը
človek	հայրիկ
čo	ինչ
čoskoro	մենք
školu	դպրոցը
že	մեզ
žehnaj	քեզ
